\Warm up at barre \Schubert \No.3 from 100 daily training \4,ABAB CDCD
\Plié \Rebikov \Yolka \2,ABCD
\Tendu \Schubert \No.5 from 100 daily training \4,ABCD
\Tendu 2 with glissade \Schubert \No.4 from 100 daily training \4,ABCD
\Jeté + assemblé \Chopin \No.9 from 100 daily \4,ABAB
\RdJT \Schubert; Shostakovich \No.11 ; Gadfly \2,ABAB
\Fondu + en l'air \Mayerl \Evening Primrose \2,ABCD
\GB \Verdi \Abbietta zingara, Ferrando \4,ABCD

\Tendu allegro \MonC.04 \4,ABCD ABCD
\Adage: en dehors, en dedans \Bournonville \MonC.03 \4,

\ \ \MonC.7,8

\ \ \MonC.10
